Wall time,Step,Value
1531048911,5,0.720000029
1531048925,15,0.720000029
1531048926,18,0.660000026
1531048929,24,0.779999971
1531048934,40,0.790000021
1531048935,42,0.810000002
1531048935,44,0.810000002
1531048935,45,0.810000002
1531048936,47,0.850000024
1531048937,53,0.819999993
1531048937,54,0.709999979
1531048937,56,0.850000024
1531048939,65,0.839999974
1531048940,71,0.870000005
1531048940,72,0.800000012
1531048940,73,0.819999993
1531048941,74,0.790000021
1531048941,79,0.850000024
1531048943,87,0.819999993
1531048944,94,0.850000024
1531048946,102,0.899999976
1531048946,105,0.889999986
1531048947,106,0.839999974
1531048948,113,0.790000021
1531048949,118,0.850000024
1531048951,126,0.839999974
1531048951,129,0.860000014
1531048951,130,0.870000005
1531048954,139,0.829999983
1531048954,141,0.790000021
1531048954,142,0.790000021
1531048957,150,0.860000014
1531048959,155,0.800000012
1531048961,158,0.870000005
1531048963,167,0.839999974
1531048963,168,0.889999986
1531048965,177,0.860000014
1531048966,178,0.850000024
1531048968,183,0.829999983
1531048969,185,0.920000017
1531048969,186,0.819999993
1531048970,190,0.899999976
1531048974,198,0.829999983
1531048977,206,0.860000014
1531048977,207,0.879999995
1531048977,208,0.860000014
1531048978,212,0.910000026
1531048983,223,0.870000005
1531048984,229,0.899999976
1531048985,234,0.910000026
1531048986,237,0.870000005
1531048990,249,0.920000017
1531048991,255,0.889999986
1531048993,260,0.899999976
1531048994,263,0.850000024
1531048995,267,0.899999976
1531048997,271,0.920000017
1531048998,273,0.889999986
1531049002,292,0.920000017
1531049004,297,0.889999986
1531049004,298,0.879999995
1531049006,303,0.819999993
1531049007,307,0.850000024
1531049007,308,0.889999986
1531049007,310,0.860000014
1531049010,318,0.920000017
1531049010,319,0.889999986
1531049012,325,0.910000026
1531049013,326,0.910000026
1531049013,327,0.860000014
1531049014,330,0.899999976
1531049017,339,0.860000014
1531049019,347,0.899999976
1531049024,363,0.920000017
1531049025,367,0.889999986
1531049026,373,0.899999976
1531049027,377,0.920000017
1531049028,379,0.879999995
1531049032,391,0.879999995
1531049032,392,0.959999979
1531049036,408,0.920000017
1531049041,421,0.889999986
1531049041,422,0.949999988
1531049041,424,0.920000017
1531049043,430,0.939999998
1531049046,439,0.899999976
1531049047,441,0.949999988
1531049047,442,0.930000007
1531049048,445,0.910000026
1531049049,451,0.959999979
1531049051,460,0.939999998
1531049052,463,0.930000007
1531049052,464,0.879999995
1531049054,473,0.910000026
1531049055,474,0.879999995
1531049061,489,0.899999976
1531049062,491,0.899999976
1531049063,493,0.949999988
1531049068,507,0.949999988
1531049070,512,0.920000017
1531049071,514,0.939999998
1531049072,517,0.920000017
1531049075,525,0.939999998
1531049077,531,0.959999979
1531049078,533,0.930000007
1531049079,536,0.889999986
1531049082,542,0.949999988
1531049084,547,0.959999979
1531049087,557,0.959999979
1531049088,559,0.930000007
1531049090,563,0.920000017
1531049093,569,0.910000026
1531049095,573,0.910000026
1531049096,574,0.939999998
1531049097,579,0.939999998
1531049099,581,0.99000001
1531049099,582,0.959999979
1531049100,584,0.930000007
1531049100,586,0.910000026
1531049101,587,0.920000017
1531049103,592,0.930000007
1531049103,593,0.949999988
1531049106,602,0.939999998
1531049107,608,0.970000029
1531049108,610,0.920000017
1531049110,615,0.959999979
1531049111,620,0.970000029
1531049111,622,0.949999988
1531049115,634,0.939999998
1531049117,641,0.939999998
1531049117,642,0.949999988
1531049117,644,0.930000007
1531049117,645,0.980000019
1531049117,646,0.920000017
1531049118,647,0.959999979
1531049118,649,0.959999979
1531049119,652,0.910000026
1531049119,656,0.899999976
1531049120,661,0.930000007
1531049121,664,0.980000019
1531049122,668,0.959999979
1531049122,671,0.930000007
1531049123,672,0.959999979
1531049123,674,0.930000007
1531049123,675,0.939999998
1531049124,678,0.879999995
1531049124,679,0.930000007
1531049125,682,0.939999998
1531049125,683,0.959999979
1531049126,688,0.930000007
1531049126,689,0.920000017
1531049128,696,0.930000007
