Wall time,Step,Value
1531048910.7357397,5,0.6379868984222412
1531048924.9363663,15,0.5888053774833679
1531048926.1805837,18,0.6000096797943115
1531048928.8640513,24,0.5490587949752808
1531048934.3760407,40,0.5167219042778015
1531048934.8367782,42,0.47285109758377075
1531048935.1545947,44,0.4731850028038025
1531048935.3145032,45,0.4721840023994446
1531048935.7582493,47,0.46561896800994873
1531048936.9105916,53,0.4494737386703491
1531048937.0625048,54,0.49422499537467957
1531048937.3583384,56,0.43414944410324097
1531048938.9564228,65,0.458912193775177
1531048940.1597347,71,0.410440057516098
1531048940.3086512,72,0.4663636088371277
1531048940.4625626,73,0.45943886041641235
1531048940.6134923,74,0.48252952098846436
1531048941.347057,79,0.4051787853240967
1531048942.7742426,87,0.4391523599624634
1531048944.0744991,94,0.41641178727149963
1531048945.5666468,102,0.37270015478134155
1531048946.1902912,105,0.401114821434021
1531048946.5730739,106,0.40853020548820496
1531048948.3810391,113,0.40430793166160583
1531048949.1306121,118,0.3793475031852722
1531048950.5418048,126,0.4171317219734192
1531048951.1774416,129,0.3853907883167267
1531048951.4103098,130,0.35602349042892456
1531048953.728984,139,0.38945215940475464
1531048954.3346374,141,0.4230523407459259
1531048954.4795547,142,0.4664314389228821
1531048956.6287885,150,0.3677922189235687
1531048959.2703629,155,0.3952217996120453
1531048960.7730937,158,0.3486408591270447
1531048962.6040485,167,0.4350811243057251
1531048962.7699523,168,0.3942134976387024
1531048965.466156,177,0.3759665787220001
1531048965.9188962,178,0.32989898324012756
1531048968.0726664,183,0.38638877868652344
1531048968.6163566,185,0.301238477230072
1531048968.942178,186,0.42908215522766113
1531048970.1755018,190,0.34231099486351013
1531048973.7875028,198,0.3833448886871338
1531048976.5897946,206,0.3272223174571991
1531048976.8146803,207,0.33762654662132263
1531048977.0525446,208,0.35031384229660034
1531048978.450555,212,0.32318001985549927
1531048982.9277904,223,0.30846744775772095
1531048984.0904617,229,0.3044534921646118
1531048985.3797338,234,0.31131941080093384
1531048986.172338,237,0.33348777890205383
1531048989.5516374,249,0.3398095369338989
1531048991.2119412,255,0.29457715153694153
1531048992.6569932,260,0.3048156797885895
1531048993.9958856,263,0.353341668844223
1531048995.4597187,267,0.28035053610801697
1531048997.3170807,271,0.2810502350330353
1531048997.7678258,273,0.3172757923603058
1531049002.1141737,292,0.29456448554992676
1531049003.6209393,297,0.3197162449359894
1531049003.974612,298,0.3203662931919098
1531049005.5283864,303,0.4029677212238312
1531049006.5148253,307,0.3373473286628723
1531049006.7017174,308,0.30016621947288513
1531049007.3423512,310,0.3420489430427551
1531049010.140752,318,0.2852237820625305
1531049010.359627,319,0.27618882060050964
1531049012.3856673,325,0.2783089876174927
1531049012.6295276,326,0.2778654396533966
1531049012.847403,327,0.3261435329914093
1531049013.613965,330,0.2971673607826233
1531049017.0893674,339,0.34666550159454346
1531049019.0628357,347,0.311659574508667
1531049023.971442,363,0.2943333089351654
1531049024.8869183,367,0.24526269733905792
1531049026.245143,373,0.3100653290748596
1531049027.107687,377,0.34986209869384766
1531049027.51044,379,0.3230980336666107
1531049031.9849124,391,0.29586562514305115
1531049032.3277147,392,0.23392172157764435
1531049036.3168607,408,0.3080501854419708
1531049040.6412716,421,0.3128238916397095
1531049040.8551502,422,0.26543205976486206
1531049041.3738532,424,0.254353404045105
1531049043.3034563,430,0.26689082384109497
1531049046.1344957,439,0.2663184404373169
1531049046.8990424,441,0.2199685126543045
1531049047.137907,442,0.2391386479139328
1531049048.0331743,445,0.2967582941055298
1531049049.4293766,451,0.21996557712554932
1531049051.2173567,460,0.2404668629169464
1531049052.0248978,463,0.24838997423648834
1531049052.373696,464,0.2868298292160034
1531049054.432885,473,0.25827091932296753
1531049055.010612,474,0.26875555515289307
1531049061.3510575,489,0.29715341329574585
1531049062.3764725,491,0.28555357456207275
1531049063.118049,493,0.255177766084671
1531049068.3860528,507,0.23714107275009155
1531049070.085595,512,0.21772979199886322
1531049070.8707728,514,0.21146583557128906
1531049071.8871927,517,0.30514034628868103
1531049074.7336483,525,0.2313092052936554
1531049077.1926756,531,0.21986369788646698
1531049077.9392498,533,0.24961376190185547
1531049079.226515,536,0.25281772017478943
1531049082.1138644,542,0.23712824285030365
1531049083.748931,547,0.20382343232631683
1531049087.0670354,557,0.19110506772994995
1531049088.069463,559,0.2713415324687958
1531049090.4660945,563,0.20720216631889343
1531049092.6938207,569,0.2278076559305191
1531049095.3682966,573,0.25017768144607544
1531049095.7320857,574,0.22371406853199005
1531049097.4750905,579,0.20158012211322784
1531049098.5934505,581,0.2004169523715973
1531049098.8033307,582,0.18619829416275024
1531049099.589882,584,0.26512381434440613
1531049100.2754896,586,0.2586154043674469
1531049100.5393395,587,0.2657127380371094
